# 迭代步,旋转角度(度),总误差
1078,7.276083,0.093552
1079,-58.587088,0.302842
1080,-51.552332,0.101171
1081,-4.780622,0.102017
1082,-7.221394,0.110268
1083,8.056257,6.955422
1084,-46.762232,1.664063
1085,5.725359,0.094879
1086,-29.906058,0.093843
1087,2.399013,0.165676
1088,26.598003,0.549858
1089,-59.986373,0.103848
1090,-31.176650,0.351400
1091,-39.078726,0.213745
1092,-19.183203,0.089474
1093,-44.516638,0.134817
1094,-53.052721,0.888268
1095,-38.827380,0.232277
1096,-34.315136,0.069526
1097,26.484773,0.063647
1098,-27.554998,0.094205
1099,19.737917,0.076842
1100,-25.064032,0.178760
1101,-8.827643,1.010512
1102,6.710265,3.280280
1103,-56.465250,1.149995
