X(mm),Y(mm),Velocity(mm/s)
4.5283,-3.5220,0.100000
8.5535,-3.5220,0.100000
12.5786,-3.5220,0.100000
16.6038,-3.5220,0.100000
20.6289,-3.5220,0.100000
24.6541,-3.5220,0.100000
28.6792,-3.5220,0.100000
32.7044,-3.5220,0.100000
36.7296,-3.5220,0.100000
40.7547,-3.5220,0.100000
44.7799,-3.5220,0.100000
48.8050,-3.5220,0.100000
52.8302,-3.5220,0.100000
56.8553,-3.5220,0.100000
60.8805,-3.5220,100.000000
64.9057,-3.5220,66.700000
68.9308,-3.5220,33.650964
72.9560,-3.5220,67.273167
76.9811,-3.5220,100.000000
-80.0000,-7.5472,100.000000
-75.9748,-7.5472,100.000000
-71.9497,-7.5472,75.680277
-67.9245,-7.5472,0.100000
-63.8994,-7.5472,0.100000
-59.8742,-7.5472,0.100000
-55.8491,-7.5472,0.100000
-51.8239,-7.5472,0.100000
-47.7987,-7.5472,0.100000
-43.7736,-7.5472,0.100000
-39.7484,-7.5472,0.100000
-35.7233,-7.5472,0.100000
-31.6981,-7.5472,0.100000
-27.6730,-7.5472,0.100000
-23.6478,-7.5472,0.100000
-19.6226,-7.5472,0.100000
-15.5975,-7.5472,0.100000
-11.5723,-7.5472,0.100000
-7.5472,-7.5472,0.100000
-3.5220,-7.5472,0.100000
0.5031,-7.5472,0.100000
4.5283,-7.5472,0.100000
8.5535,-7.5472,0.100000
12.5786,-7.5472,0.100000
16.6038,-7.5472,0.100000
20.6289,-7.5472,0.100000
24.6541,-7.5472,0.100000
28.6792,-7.5472,0.100000
32.7044,-7.5472,0.100000
36.7296,-7.5472,0.100000
40.7547,-7.5472,0.100000
44.7799,-6.8472,100.000000
44.7799,-7.5472,0.100000
48.8050,-7.5472,0.100000
52.8302,-7.5472,0.100000
56.8553,-7.5472,0.100000
60.8805,-7.5472,44.500968
64.9057,-7.5472,66.700000
68.9308,-7.5472,35.716965
72.9560,-7.5472,71.354727
76.9811,-7.5472,100.000000
-80.0000,-11.5723,100.000000
-75.9748,-11.5723,100.000000
-71.9497,-11.5723,90.583449
-67.9245,-11.5723,0.253409
-63.8994,-11.5723,0.100000
-59.8742,-11.5723,0.100000
-55.8491,-11.5723,0.100000
-51.8239,-11.5723,0.100000
-47.7987,-11.5723,0.100000
-43.7736,-11.5723,0.100000
-39.7484,-11.5723,0.100000
-35.7233,-11.5723,0.100000
-31.6981,-11.5723,0.100000
-27.6730,-11.5723,0.100000
-23.6478,-11.5723,0.100000
-19.6226,-11.5723,0.100000
-15.5975,-11.5723,0.100000
-11.5723,-11.5723,0.100000
-7.5472,-11.5723,0.100000
-3.5220,-11.5723,0.100000
0.5031,-11.5723,0.100000
4.5283,-11.5723,0.100000
8.5535,-11.5723,0.100000
12.5786,-11.5723,0.100000
16.6038,-11.5723,0.100000
20.6289,-11.5723,0.100000
24.6541,-11.5723,0.100000
28.6792,-11.5723,0.100000
32.7044,-11.5723,0.100000
36.7296,-11.5723,0.100000
40.7547,-11.5723,0.100000
44.7799,-11.5723,0.100000
48.8050,-11.5723,0.100000
52.8302,-11.5723,0.100000
56.8553,-11.5723,0.100000
60.8805,-11.5723,88.900000
64.9057,-11.5723,66.700000
68.9308,-11.5723,39.498784
72.9560,-11.5723,80.512639
76.9811,-11.5723,100.000000
-80.0000,-15.5975,100.000000
-75.9748,-14.8975,100.000000
-75.9748,-15.5975,100.000000
-71.9497,-15.5975,82.465030
-67.9245,-15.5975,4.615557
-63.8994,-15.5975,0.100000
-59.8742,-15.5975,0.100000
-55.8491,-15.5975,0.100000
-51.8239,-15.5975,0.100000
-47.7987,-15.5975,0.100000
-43.7736,-15.5975,0.100000
-39.7484,-15.5975,0.100000
-35.7233,-15.5975,0.100000
-31.6981,-15.5975,0.100000
-27.6730,-15.5975,0.100000
-23.6478,-15.5975,0.100000
-19.6226,-15.5975,0.100000
-15.5975,-15.5975,0.100000
-11.5723,-15.5975,0.100000
-7.5472,-15.5975,0.100000
